Nome atribuído,Estágio da Instrução (Portaria 11/86),CÓDIGO IPHAN
Hospital São João de Deus: capela,TOMBADO,BA2904902BIED00020
"Casa à Rua Benjamin Constant, 2",TOMBADO,BA2904902BIED00009
"Sobrado à Praça Anchieta, 18",TOMBADO,SEM CADASTRO SICG?
"Prédio à Rua  J. Castro Rabelo, 5 (Açouguinho)",TOMBADO,BA2927408BIED00043
"Casa à rua Inácio Acioly, 4",TOMBADO,BA2927408BIED00014
"Sobrado à Praça Anchieta, 20 e Inácio Acioly, 2",TOMBADO,BA2927408BIED00068
"Prédio à Rua Militão Lisboa, 80",TOMBADO,BA2927408BIED00082
"Sobrado à Rua Inácio Acioly, 6",TOMBADO,BA2927408BIED00067
"Sobrado à Praça Quinze de Novembro, 17 e à Praça Anchieta, 2",TOMBADO,BA2927408BIED00069
Convento e Igreja de Santo Antônio e Capela da Ordem Terceira,TOMBADO,BA2929206BICA00001
Convento e Igreja de Santo Antônio,TOMBADO,BA2905404BIED00001
"Sobrado à Rua Saldanha da Gama, n 25 (Casa Régia)",TOMBADO,BA2927408BIED00030
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3167103BIED00001
Capela Nossa Senhora da Piedade e Recolhimento do Bom Jesus dos Perdões,TOMBADO,BA2927408BIED00009
Paço Municipal,TOMBADO,BA2917805BIED00002
Paço Municipal,TOMBADO,BA2920601BIED00002
Capela de São José de Jenipapo,TOMBADO,BA2907301BIED00001
"Sobrado à rua Treze de Maio, 13",TOMBADO,BA2904902BIED00011
Engenho Embiara: sobrado,TOMBADO,BA2904902BIED00006
Casa de Câmara e Cadeia,TOMBADO,PB2511509BIED00001
Casa da Pólvora: ruínas,TOMBADO,PB2507507BIED00020
Igreja de São Pedro dos Clérigos,TOMBADO,BA2927408BIED00042
Igreja de Nossa Senhora da Saúde,TOMBADO,BA2927408BIED00045
Igreja Matriz de Santana,TOMBADO,BA2927408BIED00022
Igreja de Nossa Senhora da Penha e antigo Palácio de Verão dos Arcebispos incluindo o,,SEM CADASTRO SICG?
passadiço que liga os mencionados edifícios,TOMBADO, BA2927408BICA00017
Igreja de Nossa Senhora da Penha e antigo Palácio de Verão dos Arcebispos incluindo o,,SEM CADASTRO SICG?
passadiço que liga os mencionados edifícios (BEM FILHO),Tombado (bem filho),BA2927408BIED00029
Igreja de Nossa Senhora da Penha e antigo Palácio de Verão dos Arcebispos incluindo o,,SEM CADASTRO SICG?
passadiço que liga os mencionados edifícios (BEM FILHO),Tombado (bem filho),BA2927408BIED01816
Igreja de Nossa Senhora da Barroquinha,TOMBADO,BA2927408BIED00037
Hospício de Nossa Senhora da Boa Viagem: prédio e cruzeiro,TOMBADO,BA2927408BIED00079
Solar do Unhão e Capela Nossa Senhora da Conceição,TOMBADO,BA2927408BICA00001
Convento de Santo Antônio de Paraguassú: igreja e ruínas,TOMBADO,BA2904902BICA00001
Igreja Matriz de Nossa Senhora da Ajuda,TOMBADO,BA2917805BIED00001
Matriz de Nossa Senhora da Purificação,TOMBADO,BA2928604BIED00006
Casa das Sete Mortes,TOMBADO,BA2927408BIED00023
"Prédio (parte antiga do sobrado de residência) do antigo Engenho Vitória, inclusive a Capela, o crucifixo do altar e, mais, uma senzala e o banheiro primitivo, ambos nas imediações do sobrado",TOMBADO,BA2904902BIED00005
Paço Municipal,TOMBADO,BA2928604BIED00001
"Prédio à Rua da Matriz, 9",TOMBADO,BA2928604BIED00003
Santa Casa de Misericórdia: prédio central,TOMBADO,BA2928604BIED00005
Hospício São João de Deus: prédio,TOMBADO,BA2927408BIED00078
Porta de Solar do séc. XVII adaptada ao atual prédio da Secretaria de Educação e Saúde,TOMBADO,BA2927408BMAR00006
Casa de Tejupeba e Capela do Colégio,TOMBADO,SE2803203BIED00002
Igreja Matriz de Nossa Senhora Divina Pastora,TOMBADO,SE2802007BIED00001
Igreja de Nossa Senhora do Socorro,TOMBADO,SE2807501BIED00001
Igreja Matriz de Nossa Senhora das Vitórias,TOMBADO,SE2806701BIED00004
Igreja de Nossa Senhora do Rosário dos Homens Pretos,TOMBADO,SE2806701BIED00005
Igreja Matriz do Coração de Jesus,TOMBADO,SE2803609BIED00001
Igreja Matriz de Santo Amaro,TOMBADO,SE2806602BIED00001
Igreja Matriz de Nossa Senhora do Perpétuo Socorro,TOMBADO,SE2804805BIED00001
Engenho Retiro: casa e Capela de Santo Antônio,TOMBADO,SE2803609BIED00012
Engenho Poxim: capela de Nossa Senhora da Conceição,TOMBADO,SE2806701BIED00008
Igreja de Comandaroba,TOMBADO,SE2803609BIED00002
Engenho Caieira: capela de Nossa Senhora da Conceição,TOMBADO,SE2806602BIED00002
Convento e Igreja do Carmo,TOMBADO,SE2806701BIED00042
Igreja e Casa da Misericórdia,TOMBADO,SE2806701BIED00040
Convento e Igreja de Santa Cruz,TOMBADO,SE2806701BIED00041
Igreja da Ordem Terceira do Carmo,TOMBADO,SE2806701BIED00007
"Sobrado à Rua Castro Alves,  2",TOMBADO,SE2806701BIED00003
"Sobrado à Rua da Matriz, com balcão corrido",TOMBADO,SE2806701BIED00002
"Engenho Jesus, Maria, José: capela",TOMBADO,SE2803609BIED00003
Engenho Nossa Senhora da Penha: capela,TOMBADO,SE2805901BIED00001
Sobrado à Rua das Flores,TOMBADO,SE2806701BIED00001
Convento e Igreja Santa Maria dos Anjos,TOMBADO,AL2706703BIED00001
Igreja de Nossa Senhora do Carmo,TOMBADO,RJ3304557BIED00036
Engenho Lagoa: sobrado e capela,TOMBADO,BA2929503BICA00001
Igreja Matriz de Nossa Senhora de Oliveira dos Campinhos,TOMBADO,BA2928604BIED00004
Palacete Azul,TOMBADO,PA1501402BIED00010
Fazenda de São Roque: casa grande e capela,TOMBADO,BA2920601BICA00001
"Fazenda, Ilhota Morcego e casa",TOMBADO,RJ3300100BIED00003
Igreja de Nossa Senhora do Carmo,TOMBADO,MG3167103BIED00003
Igreja do Bom Jesus de Matozinhos,TOMBADO,MG3167103BIED00004
Fonte Grande do Morro de São Paulo,TOMBADO,BA2905404BIED00003
"Engenho Freguesia: sobrado, fábrica de açúcar e Capela de Nossa Senhora da Piedade",TOMBADO,BA2906501BIED00001
Engenho Matoim: sobrado e fábrica de açúcar,TOMBADO,BA2906501BIED00002
Mosteiro e Igreja da Imaculada Conceição da Luz e respectivo quintal,TOMBADO,SP3550308BICA00004
Igreja Matriz de Santo Amaro do Ipitanga,TOMBADO,BA2919207BIED00001
Solar do Barão de Guajará,TOMBADO,PA1501402BIED00014
Itacoatiarias do Rio Ingá,RERRATIFIC.,PB2506806BAST00001
"Edifício à Praça Cairú, onde funciona a Alfândega, atual Mercado",TOMBADO,BA2927408BIED00025
Capela de Santo Antônio dos Velasques,TOMBADO,BA2933208BIED00001
Engenho São Miguel e Almas: casa e capela,TOMBADO,BA2929206BIED00001
"Prédio localizado na Praça dos Veteranos, nº 5 conhecido como Solar do Gravatá ou Solar Oliveira Mendes",TOMBADO,BA2927408BIED00094
Igreja de Nossa Senhora do Rosário,TOMBADO,PA1501402BIED00006
Igreja Matriz de São Sebastião,TOMBADO,RS4301602BIED00001
Ermida de Nossa Senhora do Rosário,TOMBADO,MG3131703BIED00001
Igreja Matriz de São Caetano,TOMBADO,MG3140001BIED00016
Palácio Velho,TOMBADO,PA1501402BIED00013
"Casa à rua Saldanha Marinho, nº 3, onde nasceu Victor Meirelles",TOMBADO,SC4205407BIED00009
Capela de Nossa Senhora do Pilar,TOMBADO,SP3554102BIED00002
Convento e Igreja de Nossa Senhora do Carmo,TOMBADO,RJ3300100BIED00002
Igreja de Nossa Senhora da Abadia ,TOMBADO,GO5208905BIED00003
Igreja de Nossa Senhora da Boa Morte ,TOMBADO,GO5208905BIED00004
Igreja de Nossa Senhora do Carmo ,TOMBADO,GO5208905BIED00005
Igreja de Santa Bárbara ,TOMBADO,GO5208905BIED00006
Igreja de São Francisco de Paula,TOMBADO,GO5208905BIED00007
"Quartel do Batalhão de Infantaria, 20  Casa do Antigo Quartel da II Companhia",TOMBADO,GO5208905BIED00009
Casa de Câmara e Cadeia,TOMBADO,GO5208905BIED00002
Largo do Chafariz: conjunto arquitetônico e urbanístico,TOMBADO,GO5208905BICA00001
"Conjunto arquitetônico e urbanístico da Rua João Pessoa, antiga da Fundição",TOMBADO,GO5208905BICU00001
Imagem de Nossa Senhora do Rosário,TOMBADO,GO5208905BMAR00002
"Palácio Conde dos Arcos  Palácio dos Governadores, inclusive as armas de Portugal e dois bustos de pedra",TOMBADO,GO5208905BIED00008
"Goiás, GO: conjunto arquitetônico e urbanístico",TOMBADO,GO5208905BICU00002
Sitio Querubim: forro da capela,TOMBADO,SP3550605BIED00001
Fazenda do Engenho d' Água: casa,TOMBADO,SP3520400BIED00001
Mosteiro e Igreja de São Bento,TOMBADO,SP3548500BICA00002
Casa do Tatuapé,TOMBADO,SP3550308BIED00009
Sítio do Padre Inácio: casa,TOMBADO,SP3513009BIED00001
Igreja Matriz de Nossa Senhora de Nazaré,TOMBADO,MG3140001BIED00015
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3140001BIED00010
Engenho Poço Comprido: casa grande e capela,TOMBADO,PE2616308BICA00001
"Igarassu, PE: conjunto arquitetônico e paisagístico",TOMBADO,PE2606804BICU00001
Capela de Nossa Senhora do Livramento ,TOMBADO,PE2606804BIED00001
Igreja do Sagrado Coração de Jesus,TOMBADO,PE2606804BIED00002
Igreja Matriz de São Cosme e São Damião,TOMBADO,PE2606804BIED00003
Capela de São Sebastião ,TOMBADO,PE2606804BIED00004
Igreja de Nossa Senhora do Rosário,TOMBADO,ES3205309BIED00003
"Sobrado à Rua Marechal Deodoro, 12",TOMBADO,MG3162500BIED00001
Recolhimento de Santa Teresa: remanescentes,TOMBADO,RJ3303302BIED00005
Fazenda do Capão do Bispo: casa,TOMBADO,RJ3304557BIED00066
Igreja Matriz de Nossa Senhora do Rosário,TOMBADO,MG3138203BIED00001
"Edifício da Casa Grande do Sítio dos Morrinhos ou Chácara de São Bento, compreendendo uma área de 5.110 metros",TOMBADO,SP3550308BIED00004
Convento de São Bernardino de Sena: ruínas e Capela dos Terceiros,TOMBADO,RJ3300100BICU00001
Coleção de armas Sérgio Ferreira da Cunha,TOMBADO,RJ3303906BMCL00001
Igreja de São Francisco de Assis,TOMBADO,MG3106200BIED00001
Igreja da Ordem Terceira de Nossa Senhora do Monte do Carmo (BEM FILHO),Tombado (bem filho),SP3548500BMAC00002
"Prédio do MEC/ Palácio Capanema  Edifício na rua da Imprensa, 16, com toda a área de terreno situada entre as ruas da Imprensa e de Santa Luzia, a avenida Graça Aranha  e a rua Araujo Porto Alegre, necessária a preservação de sua perspect",TOMBADO,RJ3304557BICA00018
Cemitério de Nossa Senhora da Soledade: conjunto paisagístico,TOMBADO,PA1501402BICA00007
Igreja de Nossa Senhora do Rosário ,TOMBADO,MG3117504BIED00002
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3117504BIED00003
Casa à Praça Dom Joaquim com teto pintado,TOMBADO,MG3117504BIED00001
Chafariz da Praça Dom Joaquim,TOMBADO,MG3117504BMAR00002
"Três Retábulos, duas credências, imagens do Senhor Crucificado do Santuário do Bom Jesus de Matozinhos",TOMBADO,MG3117504BMAR00001
Igreja de São Gonçalo,TOMBADO,ES3205309BIED00001
Igreja de Nossa Senhora da Conceição,TOMBADO,ES3202405BIED00001
Igreja de Nossa Senhora da Penha,TOMBADO,MG3152709BIED00001
"Igreja e Convento de Nossa Senhora do Carmo, compreendendo as pinturas e outras obras de arte integrantes dos referidos monumentos",TOMBADO,SP3523909BICA00001
"Sobrado à Rua Conselheiro Junqueira, 55",TOMBADO,BA2927408BIED00073
Convento e Igreja de Nossa Senhora das Mercês,TOMBADO,PA1501402BIED00001
"Alcântara, MA: conjunto arquitetônico e urbanístico",TOMBADO,MA2100204BICU00001
"Fazenda Acauã: casa, capela e sobrado",TOMBADO,PB2500775BICA00001
Forte de Santa Tecla: fundações,TOMBADO,RS4301602BIOE00001
Capela de São Francisco Xavier,TOMBADO,PB2508604BIED00001
Capela de Nossa Senhora da Guia,TOMBADO,PE2609501BIED00001
Forte dos Reis Magos,TOMBADO,RN2408102BIED00002
Forte Príncipe da Beira,RERRATIFIC.,MG3118007BIED00001
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3118007BIED00001,
"Casa à rua da Imperatriz, nº 147, onde nasceu Joaquim Nabuco",TOMBADO,PE2611606BIED00025,
Igreja Matriz de Nossa Senhora de Nazaré,TOMBADO,MG3110004BIED00002,
Quinta do Tanque,TOMBADO,BA2927408BIED00046,
Igreja de Nossa Senhora das Fronteiras,TOMBADO,PE2611606BIED00038,
Teatro Santa Isabel,TOMBADO,PE2611606BIED00021,
Igreja Matriz de Santo Antônio,TOMBADO,MG3145901BIED00001,
Igreja Matriz de Nossa Senhora de Nazaré,TOMBADO,MG3146107BIED00014,
Igreja Matriz de Nossa Senhora do Pilar,TOMBADO,MG3162500BIED00005,
Igreja Matriz de Santo Antônio,TOMBADO,MG3168804BIED00001,
Chafariz de São José,TOMBADO,MG3168804BMAR00001,
Colégio do Caraça: conjunto arquitetônico e paisagístico,TOMBADO,MG3115359BICA00001,
Igreja de Sant'Ana,TOMBADO,MG3156700BIED00007,
Passo do Carmo,TOMBADO,MG3156700BIED00010,
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3110004BIED00004,
Hospício da Terra Santa e Capela de Nossa Senhora do Pilar ,TOMBADO,MG3156700BICA00002,
Passo da Rua Marquês de Sapucaí,TOMBADO,MG3156700BICU00001,
Igreja do Senhor do Bonfim,TOMBADO,MG3121605BIED00001,
Igreja de São Francisco de Assis,TOMBADO,MG3121605BIED00013,
Igreja de Nossa Senhora das Mercês,TOMBADO,MG3121605BIED00008,
Igreja de Nossa Senhora do Amparo,TOMBADO,MG3121605BIED00009,
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3121605BIED00011,
Igreja Matriz de Bom Jesus do Monte,TOMBADO,MG3140001BIED00013,
Passo da Ponte da Areia,TOMBADO,MG3140001BIED00018,
Seminário Menor e Capela de Nossa Senhora da Boa Morte,TOMBADO,MG3140001BICA00001,
Fonte da Samaritana,TOMBADO,MG3140001BMAR00001,
Igreja de Nossa Senhora do Rosário,TOMBADO,MG3168804BIED00002,
Passo da Rua Duque de Caxias,TOMBADO,MG3162500BIED00003,
Passo da Ladeira do Rosário,TOMBADO,MG3140001BIED00017,
Capela de Santana,TOMBADO,MG3146107BIED00035,
Casa Capitular ,TOMBADO,MG3140001BIED00003,
Igreja Matriz da Conceição,TOMBADO,MG3140001BIED00014,
Passo da Rua Getúlio Vargas,TOMBADO,MG3162500BIED00002,
"Casa da Chica da Silva  Rua Lalau Pires, 266",TOMBADO,MG3121605BIED00006,
Casa à Praça Juscelino Kubitschek (Edifício do Foro),TOMBADO,MG3121605BIED00003,
"Casa de Câmara e Cadeia ou Paço Municipal, à Praça João Pinheiro",TOMBADO,MG3140001BIED00005,
Casa dos Contos,TOMBADO,MG3146107BIED00004,
Palácio dos Governadores ou Casa à Praça Tiradentes,TOMBADO,MG3146107BIED00020,
"Casa à Praça Cônego Cardoso, 84 a 90, Casa do Inconfidente Resende Costa",TOMBADO,MG3154200BIED00001,
Casa à rua D. Pedro II (Paço Municipal),TOMBADO,MG3156700BIED00011,
Chafariz do Caquende,TOMBADO,MG3156700BMAR00001,
Chafariz do Rosário,TOMBADO,MG3156700BIED00015,
Casa à Praça da Matriz,TOMBADO,MG3106200BIED00005,
Recolhimento de Macaúbas: prédio,TOMBADO,MG3106200BIED00004,
Sítio Cabangu: casa,TOMBADO,MG3160702BIED00001,
Igreja de Nossa Senhora do Rosário,TOMBADO,ES3205200BIED00001,
"Imagens de Nossa Senhora da Conceição, 02 e alfaias",TOMBADO,ES3205101BMAC00001,
Imagem de Nossa Senhora da Penha da Igreja de N S do Rosário,TOMBADO,ES3205200BMAC00001 ,
Igreja de Nossa Senhora da Ajuda,TOMBADO,ES3205101BIED00001,
Fortaleza de São José de Macapá,TOMBADO,AP1600303BIED00001,
Fazenda Samambaia: casa,TOMBADO,RJ3303906BIED00005,
Casa dos Ottoni,TOMBADO,MG3167103BIED00002,
"Convento, Igreja e Capela da Ordem terceira de São Francisco (Museu de Arte Sacra de Alagoas)",TOMBADO,AL2704708BIED00001,
Casa da Princesa  Rua da Cadeia,TOMBADO,GO5216908BIED00002,
Fonte do Ribeirão,TOMBADO,MA2111300BIED00003,
Casa à rua Tiradentes (Casa do Padre Rolim),TOMBADO,MG3121605BIED00007,
Casa do Mercado na Praça Barão de Gaicuí,TOMBADO,MG3121605BIED00002,
"Casa com forro pintado na rua Tiradentes, 36",TOMBADO,MG3121605BIED00005,
"Remanescentes da Capela da Fazenda da Jaguara, incorporados à Igreja Matriz de Nossa Senhora do Pilar: retábulos e púlpitos",TOMBADO,MG3144805BMAR00001,
"Casa à Rua Israel Pinheiro, 32 ou Casa à Rua Comendador Viana, 6, ou Casa Setecentista ",TOMBADO,MG3110004BIED00001,
Casa da Fazenda do Leitão,TOMBADO,MG3106200BIED00003,
"Casa à rua Francisco Sá, 50 ",TOMBADO,MG3121605BIED00004,
"Casa à rua da Intendência, antiga sede da Real Intendência do Ouro e atual Museu do Ouro",TOMBADO,MG3156700BIED00014,
Ponte de São José ou Ponte Grande de São José ,TOMBADO,MG3146107BIOE00004,
Ponte do Rosário ,TOMBADO,MG3146107BIOE00006,
Ponte do Pilar,TOMBADO,MG3146107BIOE00003,
Chafariz da Praça de Marília ,TOMBADO,MG3146107BMAR00003,
Ponte Seca,TOMBADO,MG3146107BIOE00005,
Chafariz da Glória ou da Rua Antônio de Albuquerque,TOMBADO,MG3146107BMAR00002,
Chafariz do Passo de Antônio Dias ,TOMBADO,MG3146107BMAR00007,
Ponte da Barra,TOMBADO,MG3146107BIOE00001,
Chafariz de São José ou dos Contos ,TOMBADO,MG3146107BMAR00004,
Chafariz do Alto da Cruz ,TOMBADO,MG3146107BMAR00005,
Chafariz do Alto das Cabeças ,TOMBADO,MG3146107BMAR00006,
Ponte de Antônio Dias ,TOMBADO,MG3146107BIOE00002,
"Casa à rua Padre Toledo, do Inconfidente Padre Toledo, atual Museu da Fundação Rodrigo Melo Franco de Andrade",TOMBADO,MG3168804BIED00010,
"Casa à rua Padre Toledo, nº 8 (com forro pintado)",TOMBADO,MG3168804BIED00010,
Igreja de Nossa Senhora da Lapa da Boa Morte ,RERRATIFIC.,RJ3300100BIED00005,
Capela do Senhor do Bonfim,RERRATIFIC.,RJ3300100BIED00001,
Igreja da Ordem Terceira de Nossa Senhora do Carmo,RERRATIFIC.,RJ3300100BIED00004,
Fazenda São Bernardino: casa,RERRATIFIC.,RJ3303500BICA00001,
Igreja de Santa Luzia ,RERRATIFIC.,RJ3300100BIED00006,
Igreja Matriz de Nossa Senhora da Conceição,RERRATIFIC.,RJ3300100BIED00007,
Casa do Sítio do Mandú,TOMBADO,SP3513009BIED00002,
Igreja da Madre de Deus,TOMBADO,PE2611606BIED00032,
Igreja de Santana,TOMBADO,PA1501402BIED00007,
"Edifício do Teatro Municipal, na rua Pedro II, antiga rua Direita",TOMBADO,MG3156700BIED00013,
Casa com rótulas na rua do Rosário,TOMBADO,MG3140001BIED00004,
Engenho do Murucutu: ruínas e Capela de Nossa Senhora da Conceição ,TOMBADO,PA1501402BIED00016,
"Forte da Barra Grande, inclusive o Fortim da Praia do Góis, o Portão Espanhol e toda a área que os envolve",TOMBADO,SP3518701BICA00001,
Casa e Parque da Cidade,TOMBADO,RJ3303401BICA00002,
Fazenda Santo Antônio: casa,TOMBADO,RJ3303906BIED00006,
"Igreja Matriz do Santíssimo Sacramento, inclusive as seguintes alfaias: a) duas tochas, b) outras duas tochas menores, c) uma cruz processional, d) seis varas de pálio, e) dois turíbulos, f) uma custódia grande, dourada, g) uma custódia pequena, de prata,",TOMBADO,BA2926707BIED00003,
"Casa natal de Abílio César Borges, à Rua Barão de Macaúbas, 19",TOMBADO,BA2926707BIED00006,
"Casa à Rua Barão de Macaúbas, 11",TOMBADO,BA2926707BIED00001,
"Antiga Casa de Câmara e Cadeia, na Praça Senador Tanajura (atual Fórum)",TOMBADO,BA2926707BIED00005,
Igreja de Santana: ruínas ,TOMBADO,BA2926707BIED00005,
Forte de São Matheus: remanescentes,TOMBADO,RJ3300704BIED00001,
Capela de Nossa Senhora da Guia ,TOMBADO,RJ3300704BIED00003,
"Convento e Igreja de Nossa Senhora dos Anjos, e Capela e Cemitério da Ordem Terceira de São Francsico",TOMBADO,RJ3300704BICA00001,
Quartel General Farroupilha,TOMBADO,RS4314605BIED00003,
Igreja de N.S. da Conceição ou Capela de Tamanduá,TOMB. APROV.,PR4102307BIED00001,
Casa natal de Oswaldo Cruz,TOMBADO,SP3550001BIED00001,
"São Luís, MA: conjunto arquitetônico e paisagístico",TOMBADO,MA2111300BICA00001,
"São Luís, MA: conjunto arquitetônico e paisagístico (BEM FILHO)",Tombado (bem filho),MA2111300BICU00002,
Praça João Francisco Lisboa: conjunto arquitetônico e paisagístico,TOMBADO,MA2111300BICA00002,
Praça Benedito Leite: conjunto arquitetônico e paisagístico;,TOMBADO,MA2111300BICA00004,
Igreja da Ordem Terceira de São Francisco das Chagas,TOMBADO,PR4118204BIED00003,
Igreja de São Benedito,TOMBADO,PR4118204BIED00004,
"Pilar de Goiás, GO: conjunto arquitetônico e paisagístico",RERRATIFIC.,GO5216908BICU00001,
"Casa da Hera, compreendendo a edificação, mobiliário, alfaias, peças de indumentária e demais bens enumerados no processo nº 459T, da DPHAN, bem como uma área de terreno (Rua Fernandes Junin, 89)",TOMBADO,RJ3306206BIED00001,
"Casa de Santos Dumont  Rua Riachuelo, nº 22, com o respectivo acervo de objetos e utilidades pertencentes a Santos Dumont",TOMBADO,RJ3303906BIED00002,
Igreja de São Lourenço,TOMBADO,BA2916104BIED00001,
Igreja de Nossa Senhora da Piedade ou Igreja do Hospício do Carmo,RERRATIFIC.,PE2607901BIED00001,
"Conjunto arquitetônico e paisagístico incluído nos trechos da avenida Otávio Mangabeira, compreendendo as praias do Chega Negro e Piatã, no Subdistrito de Itapoã",TOMBADO,BA2927408BICU00008,
"Conjunto arquitetônico e paisagístico incluído no perímetro do Subdistrito de Conceição da Praia, compreendendo os seguintes logradouros: a) praça Marcílio Dias; b) rua Manoel Vitorino; c) trecho da rua Visconde de Mauá; d) rua Dionísio Martins; e) trecho da rua do Sodré; f) rua Macedo Costa",RERRATIFIC.,BA2927408BICU00011,
"Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos dos Mares e da Penha, compreendendo os seguintes logradouros: a) Praça Adriano Gordilho; b) rua Rio araguaçu; c) rua Rio Almada; d) faixa marítima, até a citada Praça Adriano Gordilho",RERRATIFIC.,BA2927408BICU00011,
"Conjunto arquitetônico e paisagístico da Praça Ana Nery, fronteira à igreja de N. Sa. Da Palma, no Subdistrito de Santana",RERRATIFIC.,BA2927408BICU00005,
"Conjunto arquitetônico e paisagístico da Praça Severino Vieira, fronteira à igreja de N. Sa. da Saúde, no Subdistrito de Nazaré",RERRATIFIC.,BA2927408BICU00009,
"Conjunto arquitetônico e paisagístico incluído no perímetro dos Subdistritos da Sé e do Passo, compreendendo os seguintes logradouros: a) rua Monte Alegre; b) praça Anchieta: c) rua Inácio Acióli; d) trecho da rua Doze de Outubro; e) rua Santa Isabel; f) rua Moniz Barreto; g) rua Frei Vicente; h) rua Gregório de Matos; i) rua Ângelo Ferraz; j) praça José Alencar; k) rua Padre Agostinho Gomes; l) rua Eduardo Carizé; m) rua João de Brito; n) praça dos Quinze Mistérios; o) rua Custódio de Melo; p) trecho da rua Joaquim Távora; q) praça Barão do Triunfo; r) rua Luís Viana; s) rua Ribeiro dos Santos; t) trecho da rua Silva Jardim; u) rua Alfredo Brito; v) praça Quinze de Novembro",RERRATIFIC.,BA2927408BICU00007,
"Conjunto arquitetônico e paisagístico incluído no perímetro do Subdistrito da Penha, compreendendo os seguintes logradouros: a) praça Euzébio de Matos; b) ladeira do Bonfim; c) praça Teodósio Rodrigues de Faria; d) praça Senhor do Bonfim; e) rua Professor Santos Reis; f) trecho da avenida Beira Mar; g) praça Divina; h) rua Benjamin Constant; i) rua Teodósio",,SEM CADASTRO SICG?,
"Costa, até a citada praça do Senhor do Bonfim",RERRATIFIC.,BA2927408BICU00007,
"Conjunto arquitetônico e paisagístico do Outeiro de Santo Antônio da Barra, no Subdistrito de Vitória. Rerratificação Outeiro de Santo Antônio da Barra  Subdistrito da Vitória (em que foi apensado o Processo 1128T84Forte São Diogo).",RERRATIFIC.,BA2927408BICU00002,
Igreja Matriz de Santo Antônio em Glaura,TOMBADO,MG3146107BIED00030,
Fortaleza de São José: portão,TOMBADO,RJ3304557BMAR00008,
Fortaleza de São José: frontispício da Capela de São José,TOMBADO,RJ3304557BMAR00009,
"Casa à Rua Vinte e quatro de maio, 1094, Casa de Davi Canabarro",TOMBADO,RS4317103BIED00001,
Igreja de Sant´Ana,TOMBADO,MG3121605BIED00012,
Capela de São João Batista,TOMBADO,GO5208905BIED00001,
"Casa rústica, casa setecentista com terreno murado, na rua Padre Pedrosa",TOMBADO,MG3146107BIED00028,
Capela do Engenho Una,TOMBADO,PB2513703BIED00001,
Igreja Matriz de São José,TOMBADO,MG3144706BIED00001,
"Fazenda da Borda do Campo; incluindo sua sede, capela e sobradinho anexos, inseridos no seguinte perímetro: "" Iniciando no portão de pedra da entrada da Fazenda, segue à direita passando pela estrada à frente da capela e do sobradinho, até atingir a cerca",TOMBADO,MG3102902BIED00001,
"Igreja de N. Sra. da Conceição do Boqueirão, com todos os seus pertences",TOMBADO,BA2927408BIED00018,
Forte de Santo Antônio,TOMBADO,PA1503101BIED00001,
"Antiga Rua Direita, rua Dom Pedro II, incluindo o conjunto arquitetônico e urbanístico do referido logradouro",TOMBADO,MG3156700BICA00001,
"Conjunto Paisagístico do Sítio da Trindade, Estrada do Arraial 3250 (antiga fortificação)",TOMBADO,PE2611606BICA00001,
"Capela do Bom Jesus da Glória, também conhecida como a Igreja da Missão ",TOMBADO,BA2917508BIED00002,
 Igreja de Nossa Senhora da Conceição,TOMBADO,BA2917508BIED00001,
Lapa da Cerca Grande,TOMBADO,MG3141108BAST00001,
Casa à Praça da Bandeira,TOMBADO,SC4209409BIED00001,
Igreja Matriz de Nossa Senhora da Conceição,TOMBADO,MG3140852BIED00001,
Igreja: Desterro e conjunto arquitetônico do respectivo bairro,TOMBADO,MA2111300BICA00005,
"Casa à Rua Direita, conhecida como casa do Barão de Pontal",TOMBADO,MG3140001BIED00006,
Igreja de Nossa Senhora da Glória,TOMBADO,MG3140001BIED00007,
"Edifício na Av. Pasteur, 250 (Antigo Hospital de Alienados)",RERRATIFIC.,RJ3304557BIED00101,
"Casa: Dr. Joaquim Moreira (rua), 130; Palácio Grão Pará",TOMBADO,RJ3303906BIED00010,
Retábulo da Igreja Nossa Senhora da Vitória,TOMBADO,MA2111300BIED00001,
Trecho ferroviário MauáFragoso,RERRATIFIC.,RJ3302502BIOE00001,
Conjunto: arquitetônico e paisagístico  Praça Gonçalves Dias,TOMBADO,MA2111300BICA00003,
Ruínas da Igreja de São José do Tocantins,TOMBADO,GO5214606BIED00002,
Igreja de Nossa Senhora do Rosário ,TOMBADO,GO5214606BIED00001,
Trecho Remanescente da Ladeira da Misericórdia,TOMBADO,RJ3304557BIOE00008,
"Casa à Praça Tiradentes, antiga Câmara e Cadeia, atual Museu da Inconfidência",TOMBADO,MG3146107BIED00003,
Casa no Largo do Rosário,TOMBADO,MG3157203BIED00003,
"Remanescentes da antiga Vila Colonial, particularmente a Igreja Matriz, compreendendo as obras de talha e imagens antigas",TOMBADO,SP3551009BICU00001,
